SUBJID_tissue	SMTSD	Subject_id
GTEX-1117F_Adipose_Tissue	Adipose_Tissue	GTEX-1117F
GTEX-1117F_Muscle	Muscle	GTEX-1117F
GTEX-1117F_Blood_Vessel	Blood_Vessel	GTEX-1117F
GTEX-1117F_Heart	Heart	GTEX-1117F
GTEX-1117F_Uterus	Uterus	GTEX-1117F
GTEX-1117F_Vagina	Vagina	GTEX-1117F
GTEX-1117F_Breast	Breast	GTEX-1117F
GTEX-1117F_Skin	Skin	GTEX-1117F
GTEX-1117F_Salivary_Gland	Salivary_Gland	GTEX-1117F
GTEX-1117F_Brain	Brain	GTEX-1117F
GTEX-111CU_Adrenal_Gland	Adrenal_Gland	GTEX-111CU
GTEX-111CU_Thyroid	Thyroid	GTEX-111CU
GTEX-111CU_Lung	Lung	GTEX-111CU
GTEX-111CU_Spleen	Spleen	GTEX-111CU
GTEX-111CU_Pancreas	Pancreas	GTEX-111CU
GTEX-111CU_Esophagus	Esophagus	GTEX-111CU
GTEX-111CU_Stomach	Stomach	GTEX-111CU
GTEX-111CU_Adipose_Tissue	Adipose_Tissue	GTEX-111CU
GTEX-111CU_Skin	Skin	GTEX-111CU
GTEX-111CU_Colon	Colon	GTEX-111CU
GTEX-111CU_Small_Intestine	Small_Intestine	GTEX-111CU
GTEX-111CU_Prostate	Prostate	GTEX-111CU
GTEX-111CU_Testis	Testis	GTEX-111CU
GTEX-111CU_Muscle	Muscle	GTEX-111CU
GTEX-111CU_Nerve	Nerve	GTEX-111CU
GTEX-111FC_Skin	Skin	GTEX-111FC
GTEX-111FC_Adipose_Tissue	Adipose_Tissue	GTEX-111FC
GTEX-111FC_Muscle	Muscle	GTEX-111FC
GTEX-111FC_Blood_Vessel	Blood_Vessel	GTEX-111FC
GTEX-111FC_Nerve	Nerve	GTEX-111FC
GTEX-111FC_Heart	Heart	GTEX-111FC
GTEX-111FC_Thyroid	Thyroid	GTEX-111FC
GTEX-111FC_Lung	Lung	GTEX-111FC
GTEX-111FC_Spleen	Spleen	GTEX-111FC
GTEX-111FC_Testis	Testis	GTEX-111FC
GTEX-111FC_Prostate	Prostate	GTEX-111FC
GTEX-111FC_Salivary_Gland	Salivary_Gland	GTEX-111FC
GTEX-111FC_Brain	Brain	GTEX-111FC
GTEX-111VG_Skin	Skin	GTEX-111VG
GTEX-111VG_Heart	Heart	GTEX-111VG
GTEX-111VG_Thyroid	Thyroid	GTEX-111VG
GTEX-111VG_Lung	Lung	GTEX-111VG
GTEX-111VG_Testis	Testis	GTEX-111VG
GTEX-111VG_Colon	Colon	GTEX-111VG
GTEX-111VG_Adipose_Tissue	Adipose_Tissue	GTEX-111VG
GTEX-111VG_Nerve	Nerve	GTEX-111VG
GTEX-111VG_Muscle	Muscle	GTEX-111VG
GTEX-111YS_Blood	Blood	GTEX-111YS
