index	SUBID_tissue	SUBJID
0	GTEX-1117F_Adipose_Tissue	GTEX-1117F
1	GTEX-1117F_Muscle	GTEX-1117F
2	GTEX-1117F_Blood_Vessel	GTEX-1117F
3	GTEX-1117F_Heart	GTEX-1117F
4	GTEX-1117F_Uterus	GTEX-1117F
5	GTEX-1117F_Vagina	GTEX-1117F
6	GTEX-1117F_Breast	GTEX-1117F
7	GTEX-1117F_Skin	GTEX-1117F
8	GTEX-1117F_Salivary_Gland	GTEX-1117F
9	GTEX-1117F_Brain	GTEX-1117F
10	GTEX-111CU_Adrenal_Gland	GTEX-111CU
11	GTEX-111CU_Thyroid	GTEX-111CU
12	GTEX-111CU_Lung	GTEX-111CU
13	GTEX-111CU_Spleen	GTEX-111CU
14	GTEX-111CU_Pancreas	GTEX-111CU
15	GTEX-111CU_Esophagus	GTEX-111CU
16	GTEX-111CU_Stomach	GTEX-111CU
17	GTEX-111CU_Adipose_Tissue	GTEX-111CU
18	GTEX-111CU_Skin	GTEX-111CU
19	GTEX-111CU_Colon	GTEX-111CU
20	GTEX-111CU_Small_Intestine	GTEX-111CU
21	GTEX-111CU_Prostate	GTEX-111CU
22	GTEX-111CU_Testis	GTEX-111CU
23	GTEX-111CU_Muscle	GTEX-111CU
24	GTEX-111CU_Nerve	GTEX-111CU
25	GTEX-111FC_Skin	GTEX-111FC
26	GTEX-111FC_Adipose_Tissue	GTEX-111FC
27	GTEX-111FC_Muscle	GTEX-111FC
28	GTEX-111FC_Blood_Vessel	GTEX-111FC
29	GTEX-111FC_Nerve	GTEX-111FC
30	GTEX-111FC_Heart	GTEX-111FC
31	GTEX-111FC_Thyroid	GTEX-111FC
32	GTEX-111FC_Lung	GTEX-111FC
33	GTEX-111FC_Spleen	GTEX-111FC
34	GTEX-111FC_Testis	GTEX-111FC
35	GTEX-111FC_Prostate	GTEX-111FC
36	GTEX-111FC_Salivary_Gland	GTEX-111FC
37	GTEX-111FC_Brain	GTEX-111FC
